ID	Rating
0	5.0
1	7.9
2	7.1
3	6.3
4	7.3
5	7.6
6	4.6
7	8.1
8	6.5
9	6.8
10	6.1
11	5.7
12	6.4
13	5.5
14	7.0
15	5.4
16	6.4
17	7.0
18	7.6
19	8.0
20	6.1
21	7.1
22	6.2
23	7.2
24	6.1
25	7.0
26	3.6
27	7.1
28	5.6
29	7.3
30	6.3
31	5.4
32	7.0
33	4.2
34	4.1
35	5.5
36	5.1
37	3.8
38	6.2
39	5.9
40	7.0
41	5.2
42	5.2
43	7.1
44	7.4
45	7.2
46	6.1
47	6.3
48	6.1
49	-1.0
50	-1.0
51	5.7
52	-1.0
53	7.1
54	7.9
55	6.1
56	5.2
57	5.4
58	6.6
59	7.2
60	6.4
61	6.8
62	5.5
63	6.9
64	7.2
65	6.9
66	6.8
67	7.0
68	6.2
69	7.6
70	7.4
71	5.7
72	8.2
73	6.9
74	7.7
75	6.2
76	4.3
77	5.5
78	7.0
79	5.2
80	7.3
81	6.3
82	6.6
83	5.4
84	6.6
85	4.9
86	7.1
87	7.0
88	6.6
89	6.0
90	-1.0
91	7.0
92	7.0
93	6.8
94	7.1
95	7.7
96	6.0
97	7.1
98	5.1
99	7.1
100	6.4
101	4.5
102	6.5
103	6.1
104	5.4
105	5.4
106	7.5
107	7.7
108	7.4
109	6.5
110	7.1
111	7.7
112	8.0
113	6.0
114	7.3
115	6.6
116	6.0
117	4.9
118	6.5
119	-1.0
120	7.0
121	6.2
122	6.1
123	5.9
124	-1.0
125	-1.0
126	-1.0
127	6.0
128	7.1
129	7.3
130	6.6
131	3.7
132	6.6
133	5.6
134	6.3
135	7.0
136	7.3
137	5.7
138	6.2
139	7.8
140	6.0
141	6.5
142	6.7
143	6.6
144	6.2
145	6.4
146	7.9
147	7.1
148	6.0
149	6.6
150	-1.0
151	7.1
152	6.5
153	5.6
154	6.9
155	3.4
156	7.0
157	7.1
158	7.0
159	7.0
160	7.9
161	6.8
162	5.2
163	5.9
164	8.2
165	6.1
166	6.1
167	5.5
168	7.3
169	7.2
170	6.6
171	4.2
172	6.1
173	7.3
174	-1.0
175	6.6
176	5.9
177	5.6
178	-1.0
179	7.3
180	6.4
181	6.8
182	5.3
183	6.2
184	6.8
185	5.5
186	8.0
187	7.2
188	6.7
189	8.6
190	6.3
191	5.4
192	7.0
193	6.4
194	5.1
195	7.2
196	7.2
197	7.3
198	5.8
199	6.0
200	5.9
201	7.2
202	6.6
203	-1.0
204	5.7
205	7.5
206	6.6
207	-1.0
208	5.1
209	7.1
210	6.7
211	-1.0
212	7.4
213	6.8
214	7.4
215	6.9
216	8.0
217	7.3
218	5.7
219	5.4
220	6.3
221	5.8
222	4.8
223	5.7
224	7.2
225	7.4
226	5.1
227	8.3
228	7.2
229	6.3
230	3.8
231	6.5
232	6.3
233	7.3
234	7.3
235	6.8
236	4.0
237	6.4
238	6.7
239	7.6
240	-1.0
241	5.0
242	7.2
243	6.6
244	5.6
245	7.4
246	-1.0
247	7.2
248	6.8
249	6.8
250	7.2
251	7.2
252	7.2
253	6.6
