tconst	 titleType	 primaryTitle	 isAdult	 startYear	 endYear	 runtimeMinutes	 genres	 region	 language	IMDB rating
tt0056016	movie	Geronimo	0	1962	\N	101	"Action,Biography,History"	GR	\N	5.9
tt0359994	short	Snapshot	0	2002	\N	15	Short	BE	\N	5.3
tt0089695	movie	"No Retreat, No Surrender"	0	1986	\N	85	"Action,Comedy,Crime"	XWG	\N	5.7
tt0094897	movie	Comic Book Confidential	0	1988	\N	90	"Documentary,History"	DK	\N	7.1
tt4519064	tvEpisode	Number Seventeen	0	2015	\N	\N	Comedy	\N	\N	\N
tt0202641	movie	Two Family House	0	2000	\N	108	"Comedy,Drama,Romance"	RU	\N	7.1
tt2357003	movie	Bound by Flesh	0	2012	\N	95	Documentary	US	\N	6.5
tt0426396	movie	Alien Abduction	0	2005	\N	96	"Horror,Sci-Fi,Thriller"	HU	\N	2.5
tt4849438	movie	Baahubali 2: The Conclusion	0	2017	\N	167	"Action,Drama"	RO	\N	8.2
tt0107464	tvMovie	Lush Life	0	1993	\N	106	Drama	BR	\N	6.8
tt0034204	movie	The Smiling Ghost	0	1941	\N	71	"Comedy,Mystery"	MX	\N	6.5
tt0183700	movie	Restless	0	1998	\N	100	"Comedy,Romance"	CN	\N	6.3
tt0061765	movie	Hillbillys in a Haunted House	0	1967	\N	86	"Comedy,Family,Horror"	BR	\N	2.6
tt0043591	movie	Gold Raiders	0	1951	\N	56	"Comedy,Western"	US	\N	5.8
tt1054112	movie	Imago mortis	0	2009	\N	96	"Horror,Mystery,Thriller"	RU	\N	4.8
tt0017750	movie	Chicago	0	1927	\N	118	"Comedy,Crime,Drama"	BR	\N	7.1
tt0065651	movie	Domicile conjugal	0	1970	\N	100	"Comedy,Drama"	HU	\N	7.5
tt0510338	tvEpisode	Saving Santa	0	1999	\N	42	"Comedy,Drama,Fantasy"	US	\N	6.9
tt0098536	movie	Turner & Hooch	0	1989	\N	97	"Comedy,Crime,Drama"	PE	\N	6.2
tt2244901	movie	I Give It a Year	0	2013	\N	97	"Comedy,Romance"	PT	\N	5.7
tt0110197	movie	Jimmy Hollywood	0	1994	\N	112	"Comedy,Crime,Drama"	HU	\N	5.3
tt0407246	movie	Temporada de patos	0	2004	\N	90	"Comedy,Drama"	HU	\N	7.3
tt2389120	movie	Gasht-e ershad	0	2012	\N	100	"Comedy,Drama"	IR	\N	5.6
tt0357711	short	Graceland	0	1997	\N	15	"Music,Short"	FI	\N	7.9
tt0289320	movie	Marfa si banii	0	2001	\N	90	"Drama,Thriller"	HU	\N	7.3
